商品编号,商品名称,商品品牌,状态,商品价格,全国总销量,全国总库存,总可订购,北京销量,北京库存,北京可订购,上海销量,上海库存,上海可订购,广州销量,广州库存,广州可订购,成都销量,成都库存,成都可订购,武汉销量,武汉库存,武汉可订购,沈阳销量,沈阳库存,沈阳可订购,济南销量,济南库存,济南可订购,西安销量,西安库存,西安可订购,重庆销量,重庆库存,重庆可订购,南京销量,南京库存,南京可订购,厦门销量,厦门库存,厦门可订购,乌鲁木齐销量,乌鲁木齐库存,乌鲁木齐可订购,宿迁销量,宿迁库存,宿迁可订购,贵阳销量,贵阳库存,贵阳可订购,南昌销量,南昌库存,南昌可订购,固安销量,固安库存,固安可订购,郑州销量,郑州库存,郑州可订购,呼和浩特销量,呼和浩特库存,呼和浩特可订购,海口销量,海口库存,海口可订购,青岛销量,青岛库存,青岛可订购,大连销量,大连库存,大连可订购,长沙销量,长沙库存,长沙可订购
3100121,啫喱水 产品a,nike,上柜,118,0,6,14,0,0,2,0,0,0,0,2,2,0,2,2,0,1,1,0,1,7,- ,- ,- ,0,0,0,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,0,0,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
3100122,昇靓,nike,下柜,209,0,0,19,0,0,11,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
3100123,焗油膏,nike,上柜,339,0,11,11,0,0,0,0,2,2,0,2,2,0,0,0,0,1,1,0,2,2,- ,- ,- ,0,2,2,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,1,1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,1,1
3100124,阿波罗,nike,上柜,85,0,15,31,0,3,5,0,2,3,0,1,1,0,2,4,0,3,10,0,2,3,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,2,5,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
3100125,阿布家,nike,上柜,105,0,26,24,- ,- ,- ,0,8,8,0,10,10,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,8,6,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
3100126,阿迪达斯,nike,下柜,65,0,0,15,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
3100127,阿尔卑斯,nike,下柜,239,0,0,0,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
3100164,阿尔法,nike,下柜,65,0,0,15,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
3100541,阿尔飞斯,nike,上柜,388,0,8,12,0,0,3,0,3,3,0,3,3,0,1,1,0,1,1,0,0,1,- ,- ,- ,0,0,0,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,0,0,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
3143121,阿尔金,nike,上柜,339,0,19,19,0,3,3,0,3,3,0,2,2,0,2,2,0,2,2,0,3,3,- ,- ,- ,0,3,3,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,1,1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
